venta_id,cliente_id,producto_id,fecha_compra,cantidad,precio,descuento_pct,tienda_id,campana
8012824,113872.0,2006,2024-08-17,2,"4,66€",0.0,1,verano_2024
8003111,109134.0,2245,15/07/2024,3,"8,66€",0.0,1,verano_2024
8029597,108641.0,2071,10/08/2024,4,"11,92€",5.0,4,verano_2024
8020156,113977.0,3608,2024-08-22,2,"20,8€",0.0,2,verano_2024
8017321,109541.0,2193,"Jul 13, 2024",2,"20,19€",0.0,3,verano_2024
8012452,106682.0,2138,05/09/2024,2,"7,32€",0.0,1,verano_2024
8020399,109027.0,2156,02/09/2024,1,"10,91€",0.0,2,verano_2024
8024976,113458.0,2209,14/08/2024,1,"16,25€",0.0,1,verano_2024
8034778,107568.0,2010,2024-08-08,2,"1,66€",0.0,3,verano_2024
8014910,111394.0,2213,2024-08-05,2,"22,25€",15.0,5,verano_2024
8015199,104892.0,3312,2024-07-20,1,"2,06€",5.0,4,verano_2024
8030672,110725.0,2113,2024-07-17,1,"11,65€",0.0,1,verano_2024
8041783,112378.0,3165,"Aug 29, 2024",2,"21,08€",0.0,3,verano_2024
8038264,111235.0,2191,2024-08-01,1,"2,7€",5.0,5,verano_2024
8043016,106019.0,2149,09/08/2024,1,"3,29€",0.0,5,verano_2024
8026725,113823.0,2218,2024-08-03,4,"5,98€",5.0,2,verano_2024
8014498,112758.0,3727,2024-07-19,3,"13,58€",5.0,1,verano_2024
8025445,113868.0,3557,2024-08-23,1,"22,94€",15.0,2,verano_2024
8010592,108171.0,2313,07/08/2024,2,"1,26€",10.0,4,verano_2024
8018349,104110.0,2335,2024-07-14,2,"10,42€",5.0,3,verano_2024
8014651,101406.0,2301,2024-07-18,1,"22,03€",0.0,1,verano_2024
8026241,109868.0,2084,2024-07-24,2,"4,98€",0.0,3,verano_2024
8015577,102964.0,2345,2024-08-22,2,"19,25€",15.0,4,verano_2024
8027995,102471.0,2593,2024-07-19,1,"10,75€",5.0,4,verano_2024
8042039,100729.0,2105,2024-08-04,2,"9,93€",0.0,1,verano_2024
8024278,110373.0,2427,2024-07-07,4,"15,11€",20.0,2,verano_2024
8043069,113683.0,2082,2024-08-20,3,"8,87€",10.0,1,verano_2024
8021136,106751.0,2124,22/08/2024,2,"12,45€",5.0,5,verano_2024
8037153,114745.0,2041,2024-07-25,1,"7,91€",10.0,1,verano_2024
8028086,103027.0,2264,2024-08-06,1,"13,32€",10.0,5,verano_2024
8023754,101250.0,2237,09/08/2024,4,"21,66€",15.0,1,verano_2024
